Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:


ITEM 1 — BUSINESS

Definitions of Abbreviations

Xcel Energy Inc.’s Subsidiaries and Affiliates (current and former)
Capital Services | Capital Services, LLC 
To continue providing reliable, affordable electric service and enable more flexibility for customers, we are working to digitize the distribution grid, while at the same time keeping it secure. Over the next five years, the Company will invest $1.4 billion implementing new network infrastructure, smart meters, advanced software, equipment sensors and related data analytics capabilities. These investments will further improve reliability and reduce outage restoration times for our customers, while at the same time enabling new options and opportunities for increased efficiency savings. The new capabilities will also enable integration of battery storage and other distributed energy resources into the grid, including electric vehicles. 
In 2019, Xcel Energy implemented foundational software and completed our initial smart meter deployment in Colorado as planned, with full-scale implementation to follow. We also requested approval to expand our advanced grid program to benefit our Minnesota customers and expect a Commission decision in late 2020. We plan to have smart meters implemented across our Colorado and Minnesota service territories by the end of 2024. 
See Item 2 - Properties for further information.



Natural Gas Operations

Natural gas operations consist of purchase, transportation and distribution of natural gas to end use residential, C&I and transport customers in NSP-Minnesota, NSP-Wisconsin and PSCo. Xcel Energy had natural gas deliveries of 463,185 (thousands of MMBtu), 2,068,129 customers and natural gas revenues of $1,868 (millions of dollars) for 2019.
Sales/Revenue Statistics
 | 2019 | | 2018
MMBtu sales per retail customer | 129.31 | | | 120.51 | 
Revenue per retail customer | $ | 851.94 | | | $ | 785.86
Residential revenue per MMBtu | 7.14 | | | 7.01 | 
C&I revenue per MMBtu | 5.73 | | | 5.76 | 
Transportation and other revenue per MMBtu | 0.57 | | | 0.80 | 

Capability and Demand
Natural gas supply requirements are categorized as firm or interruptible (customers with an alternate energy supply). 
Maximum daily output (firm and interruptible) and occurrence date:

 | 2019 | 2018
Utility Subsidiary | MMBtu | Date | | MMBtu | | Date
NSP-Minnesota | 897,615 | (a) | Feb. 25 | | 786,751 | | Jan. 12
NSP-Wisconsin | 166,009 | (a) | Jan. 30 | | 159,700 | | Jan. 5 
PSCo | 2,139,420 | (a) | March 3 | | 1,903,878 | | Feb. 20


(a) | Increase in maximum MMBtu output due to colder winter temperatures in 2019.

Natural Gas Supply and Cost
Xcel Energy actively seeks natural gas supply, transportation and storage alternatives to yield a diversified portfolio, which provides increased flexibility, decreased interruption and financial risk, and economic customer rates. In addition, the utility subsidiaries conduct natural gas price hedging activities approved by their state commissions. 
Average delivered cost per MMBtu of natural gas for regulated retail distribution:

Utility Subsidiary | 2019 | | 2018
NSP-Minnesota | $ | 3.71 | | | $ | 4.03
NSP-Wisconsin | 3.49 | | | 3.84 | 
PSCo | 2.95 | | | 3.20 | 

NSP-Minnesota, NSP-Wisconsin and PSCo have natural gas supply transportation and storage agreements that include obligations for purchase and/or delivery of specified volumes or to make payments in lieu of delivery. 
See Item 2 - Properties for further information.

General

General Economic Conditions
Economic conditions may have a material impact on Xcel Energy’s operating results. Other events impact overall economic conditions and management cannot predict the impact of fluctuating energy prices, terrorist activity, war or the threat of war. We could experience a material impact to its results of operations, future growth or ability to raise capital resulting from a sustained general slowdown in economic growth or a significant increase in interest rates.
Seasonality
Demand for electric power and natural gas is affected by seasonal differences in the weather. In general, peak sales of electricity occur in the summer months and peak sales of natural gas occur in the winter months. As a result, the overall operating results may fluctuate substantially on a seasonal basis. Additionally, Xcel Energy’s operations have historically generated less revenues and income when weather conditions are milder in the winter and cooler in the summer. 
Competition
The Company is subject to public policies that promote competition and development of energy markets. Xcel Energy’s industrial and large commercial customers have the ability to generate their own electricity. In addition, customers may have the option of substituting other fuels or relocating their facilities to a lower cost region. 
Customers have the opportunity to supply their own power with distributed generation including solar generation and in most jurisdictions can currently avoid paying for most of the fixed production, transmission and distribution costs incurred to serve them. 
Several states have incentives for the development of rooftop solar, community solar gardens and other distributed energy resources. Distributed generating resources are potential competitors to Xcel Energy’s electric service business with these incentives and federal tax subsidies.
The FERC has continued to promote competitive wholesale markets through open access transmission and other means. Xcel Energy’s wholesale customers can purchase their output from generation resources of competing suppliers or non-contracted quantities and use the transmission systems of the utility subsidiaries on a comparable basis to serve their native load.


FERC Order No. 1000 established competition for construction and operation of certain new electric transmission facilities. State utilities commissions have also created resource planning programs that promote competition for electricity generation resources used to provide service to retail customers. 
Xcel Energy Inc.’s utility subsidiaries have franchise agreements with cities subject to periodic renewal; however, a city could seek alternative means to access electric power or gas, such as municipalization. 
While each utility subsidiary faces these challenges, Xcel Energy believes their rates and services are competitive with alternatives currently available.

Public Utility Regulation

See Item 7 for discussion of public utility regulation.

Environmental

Environmental Regulation 
Our facilities are regulated by federal and state agencies that have jurisdiction over air emissions, water quality, wastewater discharges, solid wastes and hazardous substances. Various company activities require registrations, permits, licenses, inspections and approvals from these agencies. Xcel Energy has received necessary authorizations for the construction and continued operation of its generation, transmission and distribution systems. Our facilities have been designed and constructed to operate in compliance with applicable environmental standards and related monitoring and reporting requirements. However, it is not possible to determine when or to what extent additional facilities or modifications of existing or planned facilities will be required as a result of changes to regulations, interpretations or enforcement policies or what effect future laws or regulations may have. We may be required to incur expenditures in the future for remediation of MGP and other sites if it is determined that prior compliance efforts are not sufficient. 
In Minnesota, Texas and Wisconsin, Xcel Energy must comply with emission budgets that require the purchase of emission allowances from other utilities. The Denver North Front Range Nonattainment Area does not meet either the 2008 or 2015 ozone NAAQS. Colorado will continue to consider further reductions available in the non-attainment area as it develops plans to meet ozone standards. Gas plants which operate in PSCo’s non-attainment area may be required to improve or add controls, implement further work practices and/or enhanced emissions monitoring as part of future Colorado state plans. 
There are significant present/future environmental regulations to encourage use of clean energy technologies and regulate emissions of GHGs. We have undertaken numerous initiatives to meet current requirements and prepare for potential future regulations, reduce GHG emissions and respond to state renewable and energy efficiency goals. If future environmental regulations do not take into consideration investments already made or if additional initiatives or emission reductions are required, substantial costs may be incurred. 
In July 2019, the EPA adopted the Affordable Clean Energy rule, which requires states to develop plans for GHG reductions from coal-fired power plants. The state plans, due to the EPA in July 2022, will evaluate and potentially require heat rate improvements at existing coal-fired plants. It is not yet known how these state plans will affect our existing coal plants, but they could require substantial additional investment, even in plants slated for retirement. Xcel Energy believes, based on prior state commission practice, the cost of these initiatives or replacement generation would be recoverable through rates.


In 2019, Xcel Energy estimates that it reduced the carbon emissions associated with the electric generating resources, both owned and under PPAs, used to serve its customers by approximately 44% from 2005 levels.
Environmental Costs
Environmental costs include accruals for nuclear plant decommissioning and payments for storage of spent nuclear fuel, disposal of hazardous materials and waste, remediation of contaminated sites, monitoring of discharges to the environment and compliance with laws and permits with respect to emissions.
Costs charged to operating expenses for nuclear decommissioning, spent nuclear fuel disposal, environmental monitoring and remediation and disposal of hazardous materials and waste were approximately:

• | $345 million in 2019;


• | $335 million in 2018; and


• | $315 million in 2017.

Average annual expense of approximately $400 million from 2020 – 2024 is estimated for similar costs. The precise timing and amount of environmental costs, including those for site remediation and disposal of hazardous materials, are unknown. Additionally, the extent to which environmental costs will be included in and recovered through rates may fluctuate.


Capital expenditures for environmental improvements were approximately:

• | $30 million in 2019;


• | $50 million in 2018; and


• | $60 million in 2017.

See Item 7 — Capital Requirements for further discussion.

Capital Spending and Financing

See Item 7 for discussion of capital expenditures and funding sources.

Employees

As of Dec. 31, 2019, Xcel Energy had 11,273 full-time employees and 44 part-time employees, of which 5,091 were covered under CBAs.

 | Employees Covered by CBAs | Total Employees
NSP-Minnesota | 2,036 | | 3,203 
NSP-Wisconsin | 392 | | 538 
PSCo | 1,884 | | 2,369 
SPS | 779 | | 1,158 
XES | — | | 4,005 
Total | 5,091 | | 11,273


Information about our Executive Officers (a)
Name | Age (b) | Current and Recent Positions | Time in Position 
Ben Fowke (c) | 61 | Chairman of the Board, President and Chief Executive Officer and Director, Xcel Energy Inc. | August 2011 — Present 
 | | Chief Executive Officer, NSP-Minnesota, NSP-Wisconsin, PSCo, and SPS | January 2015 — Present 
Brett C. Carter | 53 | Executive Vice President and Chief Customer and Innovation Officer, Xcel Energy Inc. | May 2018 — Present 
 | | Senior Vice President and Shared Services Executive, Bank of America, an institutional investment bank and financial services company | October 2015 — May 2018 
 | | Senior Vice President and Chief Operating Officer, Bank of America | March 2015 — October 2015 
 | | Senior Vice President and Chief Distribution Officer, Duke Energy Co., an electric power company | February 2013 — March 2015 
Christopher B. Clark | 53 | President and Director, NSP-Minnesota | January 2015 — Present 
David L. Eves (d) | 61 | Executive Vice President and Group President, Utilities, Xcel Energy Inc. | March 2018 — Present 
 | | President and Director, PSCo | January 2015 — February 2018 
Darla Figoli | 57 | Senior Vice President, Human Resources & Employee Services, Chief Human Resources Officer, Xcel Energy Inc. | May 2018 — Present 
 | | Senior Vice President, Human Resources and Employee Services, Xcel Energy Inc. | May 2015 — May 2018 
 | | Vice President, Human Resources, Xcel Energy Inc. | February 2010 — May 2015 
Robert C. Frenzel (c) | 49 | Executive Vice President, Chief Financial Officer, Xcel Energy Inc. | May 2016 — Present 
 | | Senior Vice President and Chief Financial Officer, Luminant, a subsidiary of Energy Future Holdings Corp. (e) | February 2012 — April 2016 
David T. Hudson | 59 | President and Director, SPS | January 2015 — Present 
Alice Jackson | 41 | President and Director, PSCo | May 2018 — Present 
 | | Area Vice President, Strategic Revenue Initiatives, Xcel Energy Services Inc. | November 2016 — May 2018 
 | | Regional Vice President, Rates and Regulatory Affairs, PSCo | November 2013 — November 2016
Kent T. Larson (f) | 60 | Executive Vice President and Group President Operations, Xcel Energy Inc. | January 2015 — Present 
Timothy O’Connor (g) | 60 | Senior Vice President, Chief Nuclear Officer, Xcel Energy Services Inc. | February 2013 — Present 
Judy M. Poferl (h) | 60 | Senior Vice President, Corporate Secretary and Executive Services, Xcel Energy Inc. | January 2015 — Present 
Jeffrey S. Savage | 48 | Senior Vice President, Controller, Xcel Energy Inc. | January 2015 — Present 
Mark E. Stoering | 59 | President and Director, NSP-Wisconsin | January 2015 — Present 
Scott M. Wilensky | 63 | Executive Vice President, General Counsel, Xcel Energy Inc. | January 2015 — Present 


(a) | No family relationships exist between any of the executive officers or directors.


(b) | Ages as of Dec. 31, 2019.


(c) | Effective March 31, 2020, Mr. Fowke will cease to serve as President and Mr. Frenzel will become President and Chief Operating Officer of Xcel Energy Inc. At the same time, Brian J. Van Abel will become Executive Vice President, Chief Financial Officer of Xcel Energy Inc. 


(d) | Effective May 1, 2020, Mr. Eves will be retiring from the Company after retiring from his executive officer positions effective March 30, 2020.


(e) | In April 2014, Energy Future Holdings Corp., the majority of its subsidiaries, including TCEH the parent company of Luminant, filed a voluntary bankruptcy petition under Chapter 11 of the United States Bankruptcy Code. TCEH emerged from Chapter 11 in October 2016.


(f) | Effective May 31, 2020, Mr. Larson will be leaving the Company after ceasing to serve in his executive officer positions effective March 30, 2020.


(g) | Effective March 31, 2020, Mr. O’Connor will become Executive Vice President, Chief Generation Officer.


(h) | Effective March 31, 2020, Ms. Poferl will be retiring from the Company. Frank Prager has been elected to serve with the title of Senior Vice President, Strategy and Planning and External Affairs effective March 1, 2020.

